iter	RMSE
0	8.218215136
1	7.614984722
2	7.062910853
3	6.536900664
4	6.165920371
5	5.707755948
6	5.358983753
7	5.113307141
8	4.853119578
9	4.566794416
10	4.376335207
11	4.240398433
12	4.048210788
13	3.927535688
14	3.84537114
15	3.697964455
16	3.616625978
17	3.507255069
18	3.443042399
19	3.354408775
20	3.286155162
21	3.204346194
22	3.150739752
23	3.108186372
24	3.057704959
25	2.99297822
26	2.931950637
27	2.901503467
28	2.870826999
29	2.840862974
30	2.804112077
31	2.781226129
32	2.757856974
33	2.726707705
34	2.693378245
35	2.662502288
36	2.630901705
37	2.594328647
38	2.566285598
39	2.533777249
40	2.50606578
41	2.475784129
42	2.467334505
43	2.444371949
44	2.422037626
45	2.398827562
46	2.384078646
47	2.374774656
48	2.366953766
49	2.347365985
50	2.341557518
51	2.318133245
52	2.28993605
53	2.28438648
54	2.269136664
55	2.253099236
56	2.230702854
57	2.215085521
58	2.209662781
59	2.191771136
60	2.187523743
61	2.170093841
62	2.150095538
63	2.146407655
64	2.125625287
65	2.110298699
66	2.092843525
67	2.078513906
68	2.066469243
69	2.047430414
70	2.029194085
71	2.026141048
72	2.023203872
73	2.007056096
74	2.004352213
75	1.987221794
76	1.970979758
77	1.958512119
78	1.956145966
79	1.945448638
80	1.94314904
81	1.929967001
82	1.92347108
83	1.920824313
84	1.918587867
85	1.902384647
86	1.883002267
87	1.863086594
88	1.844302063
89	1.841736429
90	1.825961852
91	1.814789388
92	1.800364736
93	1.781549409
94	1.779839155
95	1.772347239
96	1.757716602
97	1.744119963
98	1.728999771
99	1.713695739
