iter	Passed	Remaining
0	50	5028
1	51	2524
2	52	1681
3	52	1261
4	52	1006
5	53	835
6	53	714
7	54	623
8	54	553
9	55	498
10	56	455
11	56	416
12	57	382
13	57	354
14	58	332
15	59	310
16	64	316
17	66	303
18	67	286
19	69	278
20	70	264
21	70	250
22	73	247
23	74	236
24	75	226
25	77	220
26	78	210
27	78	201
28	79	193
29	79	186
30	84	187
31	85	180
32	86	176
33	87	169
34	88	163
35	88	157
36	89	152
37	90	146
38	90	142
39	92	138
40	92	133
41	93	129
42	94	125
43	94	120
44	95	116
45	98	115
46	98	111
47	99	107
48	100	104
49	100	100
50	102	98
51	104	96
52	105	93
53	105	90
54	106	87
55	107	84
56	108	81
57	109	79
58	109	76
59	110	73
60	111	70
61	111	68
62	113	66
63	118	66
64	118	63
65	119	61
66	123	60
67	126	59
68	126	56
69	127	54
70	127	52
71	128	49
72	128	47
73	132	46
74	132	44
75	133	42
76	134	40
77	134	38
78	135	36
79	139	34
80	142	33
81	142	31
82	143	29
83	144	27
84	144	25
85	145	23
86	146	21
87	146	20
88	147	18
89	151	16
90	152	15
91	152	13
92	153	11
93	153	9
94	160	8
95	160	6
96	161	4
97	161	3
98	164	1
99	165	0
